,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
253,V for Vendetta,2005,8.2,62.0,1100733,70.51,132
254,Rush,2013,8.1,74.0,469644,26.95,123
255,Cast Away,2000,7.8,73.0,577258,233.63,143
256,Little Miss Sunshine,2006,7.8,80.0,471212,59.89,101
257,Midnight in Paris,2011,7.7,81.0,417186,56.82,94
258,Die Hard,1988,8.2,72.0,858677,83.01,132
259,Another Round,2020,7.7,79.0,144477,,117
260,Hot Fuzz,2007,7.8,81.0,496943,23.64,121
261,Inside Out,2015,8.2,94.0,689818,356.46,95
262,The Skin I Live In,2011,7.6,70.0,150417,3.19,120
263,Man on Fire,2004,7.7,47.0,357163,77.91,146
264,X-Men: First Class,2011,7.7,65.0,681628,146.41,131
265,X-Men: Days of Future Past,2014,7.9,75.0,699763,233.92,132
266,Soul,2020,8.0,83.0,310609,,100
267,Argo,2012,7.7,86.0,606709,136.03,120
268,The Incredibles,2004,8.0,90.0,712569,261.44,115
269,Inside Man,2006,7.6,76.0,366982,88.51,129
270,The Curious Case of Benjamin Button,2008,7.8,70.0,636407,127.51,166
271,Halloween,1978,7.7,87.0,266448,47.0,91
272,"O Brother, Where Art Thou?",2000,7.7,69.0,307315,45.51,107
273,Casablanca,1942,8.5,100.0,560496,1.02,102
274,"Monsters, Inc.",2001,8.1,79.0,885385,289.92,92
275,Memories of Murder,2003,8.1,82.0,174244,0.01,132
276,Finding Nemo,2003,8.2,90.0,1019306,380.84,100
277,The Machinist,2004,7.7,61.0,382738,1.08,101
278,The Blind Side,2009,7.6,53.0,324954,255.96,129
279,Big Fish,2003,8.0,58.0,436370,66.26,125
280,How to Train Your Dragon,2010,8.1,75.0,721715,217.58,98
281,The Deer Hunter,1978,8.1,86.0,334198,48.98,183
282,The Graduate,1967,8.0,83.0,269897,104.95,106
283,Star Trek Into Darkness,2013,7.7,72.0,479907,228.78,132
284,This Is Spinal Tap,1984,7.9,92.0,138376,4.74,82
285,12 Years a Slave,2013,8.1,96.0,687251,56.67,134
286,Hell or High Water,2016,7.6,88.0,225896,26.86,102
287,Lawrence of Arabia,1962,8.3,100.0,288594,44.82,218
288,Indiana Jones and the Last Crusade,1989,8.2,65.0,739513,197.17,127
289,Minority Report,2002,7.7,80.0,541074,132.07,145
290,Airplane!,1980,7.7,78.0,233832,83.4,88
291,Gattaca,1997,7.8,64.0,299226,12.34,106
292,"Crouching Tiger, Hidden Dragon",2000,7.9,94.0,266146,128.08,120
293,Amadeus,1984,8.4,88.0,394198,51.97,160
294,The Butterfly Effect,2004,7.6,30.0,481405,57.94,113
295,True Grit,2010,7.6,80.0,334245,171.24,110
296,Road to Perdition,2002,7.7,72.0,264094,104.45,117
297,Silver Linings Playbook,2012,7.7,81.0,699619,132.09,122
298,Brokeback Mountain,2005,7.7,87.0,351230,83.04,134
299,My Cousin Vinny,1992,7.6,68.0,122009,52.93,120
300,American Gangster,2007,7.8,76.0,420007,130.16,157
301,Training Day,2001,7.7,69.0,426013,76.63,122
302,Back to the Future Part II,1989,7.8,57.0,519407,118.5,108
303,Big Hero 6,2014,7.8,74.0,449089,222.53,102
304,The Road Warrior,1981,7.6,77.0,177909,12.47,96
305,Crash,2004,7.8,66.0,433728,54.58,112
306,Primal Fear,1996,7.7,47.0,208878,56.12,129
307,Up,2009,8.3,88.0,1016204,293.0,96
308,K.G.F: Chapter 1,2018,8.2,,75805,,156
309,Gran Torino,2008,8.1,72.0,762989,148.1,116
310,Lion,2016,8.0,69.0,232726,51.74,118
311,A Star Is Born,2018,7.6,88.0,373843,215.29,136
312,The Mitchells vs the Machines,2021,7.6,81.0,101792,,114
313,Saw,2004,7.6,46.0,411267,56.0,103
314,Tangled,2010,7.7,71.0,441329,200.82,100
315,Gone with the Wind,1939,8.2,97.0,310757,198.68,238
316,The Count of Monte Cristo,2002,7.7,61.0,136778,54.23,131
317,Wonder,2017,7.9,66.0,160283,132.42,113
318,Planet of the Apes,1968,8.0,79.0,177840,33.4,112
319,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,572080,3.9,107
320,Incendies,2010,8.3,80.0,172623,6.86,131
321,Moon,2009,7.8,67.0,354491,5.01,97
322,Before Sunrise,1995,8.1,77.0,299382,5.54,101
323,Spotlight,2015,8.1,93.0,460277,45.06,129
324,Chinatown,1974,8.2,92.0,320343,8.49,130
325,Toy Story 4,2019,7.7,84.0,239111,434.04,100
326,500 Days of Summer,2009,7.7,76.0,504039,32.39,95
327,WALL·E,2008,8.4,95.0,1086373,223.81,98
328,Blood Diamond,2006,8.0,64.0,538086,57.37,143
329,Dallas Buyers Club,2013,7.9,79.0,478622,27.3,117
330,Mystic River,2003,7.9,84.0,449594,90.14,138
331,Rocky,1976,8.1,70.0,561255,117.24,120
